Page Name,Exisiting text,Key,Feedback and Instructions,Translation,Dev Comments,Reply for Dev Comments
Household data validation,,Surveyor Information:,,கணக்கெடுப்பாளரின் தகவல்,,
Household data validation,,Flags,,கண்டறியப்பட்ட தவறுகள்,,
Household data validation,,Surveyor Name - Surveyor Code,,கணக்கெடுப்பாளரின் பெயர் - கணக்கெடுப்பாளரின் குறியீடு,,
Household data validation,,Confirmation,,உறுதிப்படுத்துதல்,,
Household data validation,,Time,,நேரம்,,
Household data validation,,Percentage,,சதவீதம்,,
Household data validation,,Week,,வாரம்,,
Household data validation,,Proportion of Surveyors that are flagged,,தவறுகள் கண்டறியப்பட்ட கணக்கெடுப்பாளர்களின்சதவீதம்,,
Household data validation,,Surveyors Flagged,,தவறுகள் கண்டறியப்பட்ட கணக்கெடுப்பாளர்கள்,,
Household data validation,,Surveyors Not Flagged,,தவறுகள் கண்டறியப்படாத கணக்கெடுப்பாளர்கள்,,
Export,,Export data,Add this as a page title,தகவல் வெளிக்கொணர்தல்,,
Export,,Download data collected in a CSV format.,Add this note below the page heading,சேகரிக்கப்பட்ட தகவல்களை CSV படிவத்தில் பதிவிறக்கம் செய்தல்,,
Export,Surveys Currently Live,Enabled surveys,,இயக்கத்தில் உள்ள கணக்கெடுப்புகள்,,
Export,Name,Survey name,,கணக்கெடுப்பின் பெயர்,,
Export,Live,Enabled surveys,,இயக்கத்தில் உள்ள கணக்கெடுப்புகள்,,
Export,Created On,Date created,,உருவாக்கப்பட்ட தேதி,,
Export,,Answers collected,,சேகரிக்கப்பட்ட பதில்கள்,,
Export,,Answers processed,,செயலாக்கப்பட்ட பதில்கள்,,
Export,,Actions,,நடவடிக்கை,,
Export,,Process,,செயலாக்கம்,,
Export,,Export,,தகவல் வெளிக்கொணர்க,,
Export,,Download data,,தகவல் பதிவிறக்குக,,
,,File not available,,கோப்பு இடம்பெற வில்லை,,
,,,,,,
Visualizations,,,Add this as a page title,காட்சிப் படங்கள்,,
Plan,Exisiting plans,Village Panchayat development plans,Columns are in Tamil on the English website.,கிராம ஊராட்சி வளர்ச்சி திட்டங்கள்,Done,
Plan,Search,Search,,தேடுக,,
Plan,Create new plan,Upload plan,,திட்டத்தை பதிவேற்றம் செய்க,,
Plan,Name,Plan name,,திட்டத்தின் பெயர்,,
Plan,Created On,Date created,,உருவாக்கப்பட்ட தேதி,,
Plan,Actions,Actions,,நடவடிக்கை,,
Plan,,Download plan,,திட்டத்தை பதிவிறக்கம் செய்க,,
Upload plan,,Upload plan,Add this as a page title,திட்டத்தை பதிவேற்றம் செய்க,,
Upload plan,,"Upload a new plan, this will allow you to view the plan and keep track of developments.",Add this note below the page heading,"ஒரு புதிய திட்டத்தை பதிவேற்றம் செய்ய, இதன் மூலம் நீங்கள் திட்டம் பார்க்க மற்றும் முன்னேற்றங்கள் கண்காணிக்க இயலும்.",,
Upload plan,Name,Plan name,,திட்டத்தின் பெயர்,,
Upload plan,Enter name,Enter plan name,,திட்டத்தின் பெயரை பதிவு செய்யவும்,,
Upload plan,Description,Plan description,,திட்டத்தின் விளக்கம்,,
Upload plan,Enter description,Enter plan description,,திட்டத்தின் விளக்கத்தை பதிவு செய்யவும்,,
Upload plan,Plan(s) Upload,Upload a plan,,திட்டத்தை பதிவேற்றம் செய்க,,
Upload plan,Choose Files,Choose Files,,கோப்புகளை தேர்வு செய்க,,
Upload plan,No file chosen,No file chosen,,எந்த கோப்பும் தேர்வு செய்யப்படவில்லை,,
Upload plan,Upload,Upload plan,,திட்டத்தை பதிவேற்றம் செய்க,,
,,Participatory Tracking,,பங்கேற்புடன் கூடிய கண்காணிப்பு,,
,,P-Tracking,,ப-கண்காணிப்பு,,
,,Tamil Nadu Village Development Planning,,தமிழ்நாடு கிராம வளர்ச்சிக்கான திட்டமிடல்,,
,,T.N.,,தமிழ்நாடு,,
,,Village Development Planning,,கிராம வளர்ச்சிக்கான திட்டமிடல்,,
,,Logged in as,,உள்நுழைந்துள்ளீர்கள்,,
,,Sign Out,,வெளியேறு,,
,,Language,,மொழி,,
,,Are you sure about deleting this item?  This action cannot be undone.,,இதனை நீக்குவதில் நீங்கள் உறுதியாக இருக்கிறீர்களா? இந்த செயல் முடிந்த பின் மீண்டும் திரும்ப பெற முடியாது.,,
,,Deleted,,நீக்கப்பட்டது,,
,,Deleting,,நீக்கப்படுகிறது,,
,,Created,,உருவாக்கப்பட்டது,,
,,Process,,செயலாக்குக,,
,,Locations CSV file,,இடங்களின் CSV கோப்பு,,
User Page,,Users,,பயனர்கள்,,
,User data,User data,,பயனர் தகவல்,,
,View and edit data regarding admin users of the system,View and edit data regarding admin users of the system,,"நிர்வகிக்கும் பயனர்களின் தகவல்களை பார்வையிடுவதற்கும், திருத்தம் செய்வதற்கும்",,
,Search,Search,,தேடுக,,
,Create a user,Create a user,,ஒரு பயனரை உருவாக்குக,,
,User Name,User Name,,பயனர் பெயர்,,
,Name,Name,,பெயர்,,
,Action,Action,,நடவடிக்கை,,
,Edit,Edit,,திருத்துக,,
,Delete,Delete,, நீக்குக,,
Create a user,,Create a user,Title of the page,ஒரு பயனரை உருவாக்குக,,
,Full Name,Full Name,,முழு பெயர்,,
,User Name,User Name,,பயனரின்  பெயர்,,
,Passphrase,Passphrase,,கடவுச்சொல்,,
,User Roles,User Roles,,பயனரின்  பணி,,
,Upload surveyor data,Upload New User,,புதிய பயனரை பதிவேற்றுக,,
Edit Page,Full Name,Full Name,,முழு பெயர்,,
,User Name,User Name,,பயனரின்  பெயர்,,
,Passphrase,Passphrase,,கடவுச்சொல்,,
,User Roles,User Roles,,பயனரின்  பணி,,
,Upload ,Upload ,,பதிவேற்றுக,,
Delete button,Are you sure about deleting this item?  This action cannot be undone.,Are you sure about deleting this item?  This action cannot be undone.,,இதனை நீக்குவதில் நீங்கள் உறுதியாக இருக்கிறீர்களா? இந்த செயல் முடிந்த பின் மீண்டும் திரும்ப பெற முடியாது.,,
Main Page,Surveys,Surveys,,கணக்கெடுப்புகள்,,
,Create a new survey or view and edit existing surveys,Create a new survey or view and edit existing surveys,,ஒரு புதிய கணக்கெடுப்பு உருவாக்க அல்லது ஏற்கனவே உள்ள கணக்கெடுப்பை பார்க்க மற்றும் மாற்றங்கள் செய்ய,,
,Download survey application,Download survey application,,கணக்கெடுப்பிற்கான மென்பொருளை பதிவேற்றுக,,
,Download and install the survey application on your tablet or mobile device.,Download and install the survey application on your tablet or mobile device,,உங்கள் டேப்லெட் அல்லது மொபைலில் கணக்கெடுப்பிற்கான மென்பொருளை பதிவிறக்கம் செய்து நிறுவவும்,,
,Upload data,Upload data,,தகவலை பதிவேற்று,,
,Sync data collected to the server,Sync data collected to the server,,சேகரிக்கப்பட்ட தகவல்களை வலை தள சேவையகத்தில் ஒத்திசைவு செய்தல்,,
,Validate data,Validate data,,தகவலை சரிபார்க்க,,
,Check and monitor the quality of data collected,Check and monitor the quality of data collected,,சேகரிக்கப்பட்ட தரவின் தரத்தை சோதிக்கவும் மற்றும்  கண்காணிக்கவும்,,
,Export data,Export data,,தகவல் வெளிக்கொணர்தல்,,
,Generate a CSV file that can be imported into various analytical tools.,Generate a CSV file that can be imported into various analytical tools,,சேகரிக்கப்பட்ட தகவல்களை CSV படிவத்தில் பதிவிறக்கம் செய்து அவற்றை பல்வேறு மென்பொருளில் பகுப்பாய்வு செய்ய முடியும்,,
Visualizations,Visualizations,Visualizations,,காட்சிப் படங்கள்,,
,View pictorial represnetations of the data collected,View pictorial representations of the data collected,,சேகரிக்கப்பட்ட தகவல்களை படக்காட்சிகளாகக் காண்பதற்கு.,,
,Plans,Plans,,திட்டங்கள்,,
,Upload and view village action plans,Upload and view village development plans,,கிராம வளர்ச்சி  திட்டங்களைப் பதிவேற்றுவதற்கும் மற்றும் காண்பதற்கும்,,
,,,,,,
Footer,,Last updated,,முந்தைய புதுப்பிற்பு,,
,,Madras Institute of Development Studies,,சென்னை வளர்ச்சி ஆராய்ச்சி நிறுவனம்,,
